"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	18	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Cardiac arrest, unspecified"	"I46.9"	12	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Other opioids"	"T40.2"	10	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Methadone"	"T40.3"	16	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Other synthetic narcotics"	"T40.4"	10	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Cocaine"	"T40.5"	22	4430141	0.5
	"Alabama"	"01"	"1999"	"1999"	"Benzodiazepines"	"T42.4"	11	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Tricyclic and tetracyclic antidepressants"	"T43.0"	11	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Other and unspecified antidepressants"	"T43.2"	12	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	101	4430141	2.3
	"Alabama"	"01"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	31	4430141	0.7
	"Alabama"	"01"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	78	4430141	1.8
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	26	4430141	0.6
	"Alabama"	"01"	"1999"	"1999"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	11	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	17	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Cardiac arrest, unspecified"	"I46.9"	12	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Other opioids"	"T40.2"	26	4447100	0.6
	"Alabama"	"01"	"2000"	"2000"	"Methadone"	"T40.3"	13	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Other synthetic narcotics"	"T40.4"	11	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Cocaine"	"T40.5"	15	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Benzodiazepines"	"T42.4"	10	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Tricyclic and tetracyclic antidepressants"	"T43.0"	12	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Other and unspecified antidepressants"	"T43.2"	15	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	139	4447100	3.1
	"Alabama"	"01"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	27	4447100	0.6
	"Alabama"	"01"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	97	4447100	2.2
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	10	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	4447100	0.7
	"Alabama"	"01"	"2000"	"2000"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	20	4447100	0.4
	"Alabama"	"01"	"2001"	"2001"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	10	4467634	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	23	4467634	0.5
	"Alabama"	"01"	"2001"	"2001"	"Essential (primary) hypertension"	"I10"	11	4467634	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"Cardiac arrest, unspecified"	"I46.9"	21	4467634	0.5
	"Alabama"	"01"	"2001"	"2001"	"Other opioids"	"T40.2"	22	4467634	0.5
	"Alabama"	"01"	"2001"	"2001"	"Methadone"	"T40.3"	27	4467634	0.6
	"Alabama"	"01"	"2001"	"2001"	"Cocaine"	"T40.5"	23	4467634	0.5
	"Alabama"	"01"	"2001"	"2001"	"Benzodiazepines"	"T42.4"	21	4467634	0.5
	"Alabama"	"01"	"2001"	"2001"	"Other and unspecified antidepressants"	"T43.2"	15	4467634	Unreliable
