"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2011"	"2011"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	15	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	10	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	88	4802740	1.8
	"Alabama"	"01"	"2011"	"2011"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	14	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Essential (primary) hypertension"	"I10"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Cardiac arrest, unspecified"	"I46.9"	36	4802740	0.7
	"Alabama"	"01"	"2011"	"2011"	"Respiratory failure, unspecified"	"J96.9"	18	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Heroin"	"T40.1"	14	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Other opioids"	"T40.2"	92	4802740	1.9
	"Alabama"	"01"	"2011"	"2011"	"Methadone"	"T40.3"	63	4802740	1.3
	"Alabama"	"01"	"2011"	"2011"	"Other synthetic narcotics"	"T40.4"	19	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Cocaine"	"T40.5"	23	4802740	0.5
	"Alabama"	"01"	"2011"	"2011"	"Other and unspecified narcotics"	"T40.6"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Benzodiazepines"	"T42.4"	46	4802740	1.0
	"Alabama"	"01"	"2011"	"2011"	"Other and unspecified antidepressants"	"T43.2"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Psychostimulants with abuse potential"	"T43.6"	11	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Antiallergic and antiemetic drugs"	"T45.0"	14	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	386	4802740	8.0
	"Alabama"	"01"	"2011"	"2011"	"Ethanol"	"T51.0"	22	4802740	0.5
	"Alabama"	"01"	"2011"	"2011"	"Alcohol, unspecified"	"T51.9"	15	4802740	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	115	4802740	2.4
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	360	4802740	7.5
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning by and exposure to alcohol"	"X45"	32	4802740	0.7
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	4802740	0.6
	"Alabama"	"01"	"2011"	"2011"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	22	4802740	0.5
	"Alabama"	"01"	"2012"	"2012"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	28	4822023	0.6
	"Alabama"	"01"	"2012"	"2012"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	14	4822023	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	14	4822023	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	97	4822023	2.0
